"drugName","drugGroup","doseDog1 (mg/kg)","indicationDog1","doseDog2 (mg/kg)","indicationDog2","doseDog3 (mg/kg)","indicationDog3","doseDog4 (mg/kg)","indicationDog4","doseDog5 (mg/kg)","indicationDog5","doseCat1 (mg/kg)","indicationCat1","doseCat2 (mg/kg)","indicationCat2","doseCat3 (mg/kg)","indicationCat3","doseCat4 (mg/kg)","indicationCat4","doseCat5 (mg/kg)","indicationCat5","contraindication"
"Amoxicillin","ยาปฏิชีวนะ","11-22 mg/kg","การติดเชื้อแบคทีเรียทั่วไป (ให้ทุก 8-12 ชม.)","22 mg/kg","การติดเชื้อทางเดินปัสสาวะ (ให้ทุก 12 ชม.)","11 mg/kg","การติดเชื้อผิวหนัง (ให้ทุก 12 ชม.)","","","","","11-22 mg/kg","การติดเชื้อแบคทีเรียทั่วไป (ให้ทุก 12 ชม.)","22 mg/kg","การติดเชื้อทางเดินหายใจ (ให้ทุก 12 ชม.)","","","","","","","แพ้ penicillin, ระวังไตบกพร่อง"
"Amoxicillin-Clavulanate","ยาปฏิชีวนะ","12.5-25 mg/kg","การติดเชื้อผิวหนัง, ทางเดินหายใจ, ทางเดินปัสสาวะ (ให้ทุก 12 ชม.)","13.75 mg/kg","การติดเชื้อกระดูก, ฟัน (ให้ทุก 12 ชม.)","","","","","","","62.5 mg/cat","การติดเชื้อทั่วไป (ให้ทุก 12 ชม.)","12.5-25 mg/kg","การติดเชื้อผิวหนัง, ทางเดินหายใจ (ให้ทุก 12 ชม.)","","","","","","","แพ้ penicillin, ห้ามในกระต่าย/ม้า"
"Ampicillin","ยาปฏิชีวนะ","10-20 mg/kg","การติดเชื้อระบบทางเดินปัสสาวะ (ให้ทุก 6-8 ชม. PO)","10-20 mg/kg","การติดเชื้อรุนแรง IV/IM (ให้ทุก 6-8 ชม.)","","","","","","","10-20 mg/kg","การติดเชื้อทั่วไป (ให้ทุก 6-8 ชม.)","","","","","","","","","แพ้ penicillin, ห้ามในกระต่าย"
"Azithromycin","ยาปฏิชีวนะ","5-10 mg/kg","การติดเชื้อทางเดินหายใจ, ผิวหนัง (ให้วันละครั้ง)","10 mg/kg","Kennel cough, Bordetella (ให้วันละครั้ง)","","","","","","","5-15 mg/kg","Chlamydia, Mycoplasma (ให้ทุก 24-72 ชม.)","5 mg/kg","การติดเชื้อทางเดินหายใจ (ให้วันละครั้ง)","","","","","","","ระวังโรคตับ, QT prolongation"
"Cephalexin","ยาปฏิชีวนะ","22 mg/kg","การติดเชื้อผิวหนัง, Pyoderma (ให้ทุก 12 ชม.)","10-30 mg/kg","การติดเชื้อกระดูก, ทางเดินปัสสาวะ (ให้ทุก 8-12 ชม.)","","","","","","","10-30 mg/kg","การติดเชื้อทั่วไป (ให้ทุก 12 ชม.)","22 mg/kg","การติดเชื้อผิวหนัง (ให้ทุก 12 ชม.)","","","","","","","แพ้ cephalosporins/penicillin"
"Cefpodoxime","ยาปฏิชีวนะ","5-10 mg/kg","การติดเชื้อผิวหนัง, ทางเดินปัสสาวะ (ให้วันละครั้ง)","10 mg/kg","การติดเชื้อเนื้อเยื่ออ่อน (ให้ทุก 24 ชม.)","","","","","","","5 mg/kg","การติดเชื้อทั่วไป (ให้วันละครั้ง)","","","","","","","","","แพ้ cephalosporins, ระวังไต"
"Chloramphenicol","ยาปฏิชีวนะ","40-50 mg/kg","การติดเชื้อ Rickettsial, Anaerobic (ให้ทุก 8 ชม.)","25-50 mg/kg","การติดเชื้อ CNS (blood-brain barrier penetration ดี)","","","","","","","12.5-20 mg/kg","การติดเชื้อทั่วไป (ให้ทุก 12 ชม.)","12.5 mg/kg","Mycoplasma haemofelis (ให้ทุก 12 ชม.)","","","","","","","ระวัง aplastic anemia, ระวังแมว"
"Ciprofloxacin","ยาปฏิชีวนะ","5-15 mg/kg","การติดเชื้อแบคทีเรีย gram-negative (ให้ทุก 12-24 ชม.)","10-15 mg/kg","การติดเชื้อทางเดินปัสสาวะ (ให้ทุก 24 ชม.)","","","","","","","5-15 mg/kg","การติดเชื้อทางเดินปัสสาวะ (ให้ทุก 24 ชม.)","","","","","","","","","ห้ามในลูกสัตว์, ระวัง seizure"
"Clindamycin","ยาปฏิชีวนะ","5.5-11 mg/kg","การติดเชื้อผิวหนัง, ฟัน, กระดูก (ให้ทุก 12 ชม.)","11 mg/kg","Toxoplasma (ให้ทุก 12 ชม.)","5.5-11 mg/kg","Anaerobic infections (ให้ทุก 12 ชม.)","","","","","5.5-11 mg/kg","Toxoplasma gondii (ให้ทุก 12 ชม.)","11 mg/kg","การติดเชื้อผิวหนัง, ฟัน (ให้ทุก 12 ชม.)","","","","","","","ห้ามใน hamster/กระต่าย (colitis)"
"Doxycycline","ยาปฏิชีวนะ","5-10 mg/kg","Ehrlichia, Anaplasma, Rickettsia (ให้ทุก 12-24 ชม.)","10 mg/kg","Leptospirosis, Brucella (ให้ทุก 12-24 ชม.)","5 mg/kg","Heartworm treatment (microfilariae) (ให้ทุก 12 ชม.)","","","","","5-10 mg/kg","Mycoplasma haemofelis (ให้ทุก 12-24 ชม.)","10 mg/kg","Chlamydophila felis (ให้ทุก 24 ชม.)","5 mg/kg","Bartonella (ให้ทุก 12 ชม.)","","","","","ห้ามลูกสัตว์, ต้องให้น้ำตาม"
